Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,28603.53,28603.53
16-01-19,Deposit,,50.00,28653.53
16-02-19,Deposit,,50.00,28703.53
16-03-19,Deposit,,50.00,28753.53
16-04-19,Deposit,,50.00,28803.53
16-05-19,Deposit,,50.00,28853.53
16-06-19,Deposit,,50.00,28903.53
16-07-19,Deposit,,50.00,28953.53
16-08-19,Deposit,,50.00,29003.53
16-09-19,Deposit,,50.00,29053.53
16-10-19,Deposit,,50.00,29103.53
16-11-19,Deposit,,50.00,29153.53
16-12-19,Deposit,,50.00,29203.53
28-12-19,WIN (22.5% APR),,6167.17,35370.70
