Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,6000.00,6000.00
16-01-19,Deposit,,50.00,6050.00
16-02-19,Deposit,,50.00,6100.00
16-03-19,Deposit,,50.00,6150.00
16-04-19,Deposit,,50.00,6200.00
16-05-19,Deposit,,50.00,6250.00
16-06-19,Deposit,,50.00,6300.00
16-07-19,Deposit,,50.00,6350.00
16-08-19,Deposit,,50.00,6400.00
16-09-19,Deposit,,50.00,6450.00
16-10-19,Deposit,,50.00,6500.00
16-11-19,Deposit,,50.00,6550.00
16-12-19,Deposit,,50.00,6600.00
28-12-19,WIN (22.5% APR),,1346.12,7946.12
