Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,15000.00,15000.00
16-01-19,Deposit,,50.00,15050.00
16-02-19,Deposit,,50.00,15100.00
16-03-19,Deposit,,50.00,15150.00
16-04-19,Deposit,,50.00,15200.00
16-05-19,Deposit,,50.00,15250.00
16-06-19,Deposit,,50.00,15300.00
16-07-19,Deposit,,50.00,15350.00
16-08-19,Deposit,,50.00,15400.00
16-09-19,Deposit,,50.00,15450.00
16-10-19,Deposit,,50.00,15500.00
16-11-19,Deposit,,50.00,15550.00
16-12-19,Deposit,,50.00,15600.00
28-12-19,WIN (22.5% APR),,3265.71,18865.71
