Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,3268.75,3268.75
16-01-19,Deposit,,50.00,3318.75
16-02-19,Deposit,,50.00,3368.75
16-03-19,Deposit,,50.00,3418.75
16-04-19,Deposit,,50.00,3468.75
16-05-19,Deposit,,50.00,3518.75
16-06-19,Deposit,,50.00,3568.75
16-07-19,Deposit,,50.00,3618.75
16-08-19,Deposit,,50.00,3668.75
16-09-19,Deposit,,50.00,3718.75
16-10-19,Deposit,,50.00,3768.75
16-11-19,Deposit,,50.00,3818.75
16-12-19,Deposit,,50.00,3868.75
28-12-19,WIN (22.5% APR),,763.57,4632.32
