Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,1125.93,1125.93
16-01-19,Deposit,,50.00,1175.93
16-02-19,Deposit,,50.00,1225.93
16-03-19,Deposit,,50.00,1275.93
16-04-19,Deposit,,50.00,1325.93
16-05-19,Deposit,,50.00,1375.93
16-06-19,Deposit,,50.00,1425.93
16-07-19,Deposit,,50.00,1475.93
16-08-19,Deposit,,50.00,1525.93
16-09-19,Deposit,,50.00,1575.93
16-10-19,Deposit,,50.00,1625.93
16-11-19,Deposit,,50.00,1675.93
16-12-19,Deposit,,50.00,1725.93
28-12-19,WIN (22.5% APR),,306.54,2032.47
