**Date**,**Details**,**Debit**,**Credit**,**Balance (GBP)**
04-08-12,Funds Deposited,,2000.00,2000.00
01-04-19,Interest Policy Begins,,,2000.00
05-04-21,Interest (16.6% APR),,668.55,2668.55
