  **Date**,    **Annex ID**,       **Reference**,  **Volume**,  **¤**,  **GBP**
  02/02/2022,   RCT-02013,  Mandate 1 of 2 ,  -1200, USD  ,  -884.59     
  10/03/2022,   RCT-02023,  Mandate 2 of 2,  -1200, USD ,   -907.73
