  **Date**,      **Annex ID**,           **Reference**,  **Volume**,  **¤**,  **GBP**
2021/10/04,    :ref:`CRE-0034`,    Eqpt. Rebate (Pi’s),     1750.00,    USD,  1289.63
2021/11/08,    :ref:`CRE-0044`,Eqpt. Rebate (UpBoards),     1750.00,    USD,  1297.16
