archive date, version,  description, download link
2019-08-15, 0.1.5, see notes, `2019-08-14_wave-tokens-wrt_v0.1.5.pdf <https://wave.hotspotbnb.com/data/docs/tokens/wrt/build/html/_static/archive/2019-08-15_wave-tokens-wrt_v0.1.5.pdf>`__
2019-08-14, 0.1.4, see notes, `2019-08-14_wave-tokens-wrt_v0.1.4.pdf <https://wave.hotspotbnb.com/data/docs/tokens/wrt/build/html/_static/archive/2019-08-14_wave-tokens-wrt_v0.1.4.pdf>`__
2019-04-23, 0.1.3, see notes, `2019-04-23_wave-tokens-wrt_v0.1.3.pdf <https://wave.hotspotbnb.com/data/docs/tokens/wrt/build/html/_static/archive/2019-04-23_wave-tokens-wrt_v0.1.3.pdf>`__
2019-02-11, 0.1.2, see notes, `2019-02-11_wave-tokens-wrt_v0.1.2.pdf <https://wave.hotspotbnb.com/data/docs/tokens/wrt/build/html/_static/archive/2019-02-11_wave-tokens-wrt_v0.1.2.pdf>`__
2019-01-17, 0.1.1, see notes, `2019-01-17_wave-organisation-tokens_v0.1.1.pdf <https://wave.hotspotbnb.com/data/docs/tokens/wrt/build/html/_static/archive/2019-01-17_wave-organisation-tokens_v0.1.1.pdf>`__
2019-01-09, 0.1.0, see notes, `2019-01-09_wave-organisation-tokens_v0.1.0.pdf <https://wave.hotspotbnb.com/data/docs/tokens/wrt/build/html/_static/archive/2019-01-09_wave-organisation-tokens_v0.1.0.pdf>`__
2015-07-01, 0.1.0, First Draft, `2015-07-01_wave-organisation-tokens_v0.1.0.pdf <https://wave.hotspotbnb.com/data/docs/tokens/wrt/build/html/_static/archive/2015-07-01_wave-organisation-tokens_v0.1.0.pdf>`__

