  **Date**,      **Reference**, **Volume**,  **¤**,     **GBP**, **GO**
2021/08/26,      HBnB+ Project,   10000.00,    USD,     7300.12, ✔
2021/07/01, Element/Matrix VPS,    2500.00,    USD,     1816.52, ✔
