Date,Details,Debit,Credit,Balance (GBP)
04-02-13,Funds Deposited,,100.00,100.00
01-04-19,Interest Policy Begins,,,100.00
01-04-20,Interest (16.6% APR),,16.65,116.65
01-04-21,Interest (16.6% APR),,19.36,136.01
06-05-21,Interest to Date ....,,2.16,138.17
