Date,Details,Debit,Credit,Balance (GBP)
,Funds Deposited,,2000.00,2000.00
01-04-19,Interest Policy Begins,,,2000.00
01-04-20,Interest (1.66% APR),,33.29,2033.29
01-04-21,Interest (1.66% APR),,33.75,2067.04
24-05-21,Interest to Date ....,,4.98,2072.03
