**Archive Date**, **Version**,  **Description**, **Download Link**
2021/12/30, 0.0.1, :ref:`see notes<Version 0.0.1>`, `2021-12-28_v0.0.1.pdf <https://wayback.datro.xyz/2021-12-28_consortium_finance-funding_salesfvr_en_v0-0-1.pdf>`__
2021/12/28, 0.0.0, :ref:`see notes<Version 0.0.0>`, `2021-12-27_v0.0.0.pdf <https://wayback.datro.xyz/2021-12-27_consortium_finance-funding_salesfvr_en_v0-0-0.pdf>`__
