date, version, size, description, download link
14-10-2019, 0.1.0, 32Gb, RPi Image - SD Card, https://linkcomingsoon.com
14-10-2019, 0.1.0, 40Gb, PC Image - USB Dongle, https://linkcomingsoon.com
