  **Date**,      **Annex ID**,     **Reference**,  **Volume**,  **¤**,  **GBP**
2021/08/30,    :ref:`CRE-0034`,   Hardware Rebate 1,     1750.00,    USD,  1272.03
2021/10/18,    :ref:`CRE-0044`,   Hardware Rebate 2,     1000.00,    USD,   728.39
