Date,Details,Debit,Credit,Balance (GBP)
28-11-14,Funds Deposited,,74000.00,74000.00
01-04-19,Interest Policy Begins,,,74000.00
01-04-20,Interest (1.66% APR),,1231.77,75231.77
01-04-21,Interest (1.66% APR),,1248.85,76480.61
25-05-21,Interest to Date ....,,187.83,76668.44
