archive date, version,  description, download link
2019-10-21, N/A, Wave Telecom Limited, https://datro.xyz/data/organisation/memorandum-articles/build/html/_static/archive/2019-10-21_wave-memorandum-articles.pdf
2018-05-14, 0.1.0, Wave Telecom Limited, https://datro.xyz/data/organisation/memorandum-articles/build/html/_static/archive/2019-05-14_wave-memorandum-articles_v0.1.0.pdf
