**Date**, **Description**, **PDF**, **SVG**, **PNG**
2019-07-31, Sotherby Analysis, `link(5.3mb) <https://datro.xyz/static/library/datro-consortium/consortium-campus/latest/build/html/_static/2019-07-31_sotherbys-market-analysis.pdf>`__  , ,
2017-07-24, Certificate of Title: 2488.70, , , `link(173mb) <https://datro.xyz/static/library/datro-consortium/consortium-campus/latest/build/html/_static/2017-07-24_Certificate 2488_70.jpeg>`__ 
2010-08-13, Certificate of Title: 2088.47, , , `link(173mb) <https://datro.xyz/static/library/datro-consortium/consortium-campus/latest/build/html/_static/2010-08-13_Certificate 2088_47.jpeg>`__ 
2010-08-13, Certificate of Title: 2038.77, , , `link(173mb) <https://datro.xyz/static/library/datro-consortium/consortium-campus/latest/build/html/_static/2010-08-13_Certificate 2038_77.jpeg>`__ 
2010-08-13, Certificate of Title: 1749.00, , , `link(173mb) <https://datro.xyz/static/library/datro-consortium/consortium-campus/latest/build/html/_static/2010-08-13_Certificate 1749_00.jpeg>`__ 
2010-08-13, Certificate of Title: 1154.00, , , `link(173mb) <https://datro.xyz/static/library/datro-consortium/consortium-campus/latest/build/html/_static/2010-08-13_Certificate 1154_00.jpeg>`__ 
2010-08-13, Certificate of Title: 4068.61, , , `link(173mb) <https://datro.xyz/static/library/datro-consortium/consortium-campus/latest/build/html/_static/2010-08-13_Certificate 4068_61.jpeg>`__ 
2020-06-06, General Plan, `link(19kb) <https://datro.xyz/static/library/datro-consortium/consortium-campus/latest/build/html/_static/2020-06-06_general-plan.pdf>`__  , `link(36kb) <https://datro.xyz/static/library/datro-consortium/consortium-campus/latest/build/html/_static/2020-06-06_general-plan.svg>`__ ,
