       **Date**, **Annex ID**,   **Volume**,    **¤**,        **GBP**, **Bal (£)**
      2021/12/28, :ref:`INV-0092`,   500.00,      USD,         372.47,   372.47
                ,                ,         ,         ,    **Balance**,   372.47
