Date,Details,Debit,Credit,Balance (GBP)
08-08-18,WIT Coin Purchase,,500.00,500.00
15-08-18,WIT Coin Purchase,,500.00,1000.00
03-09-18,WIT Coin Purchase,,500.00,1500.00
14-09-18,WIT Coin Purchase,,180.00,1680.00
28-12-18,WIT Coin Interest (10% APR),,59.01,1739.01
25-08-19,Interest to Date ....,,114.35,1853.36
