Date,Details,Debit,Credit,Balance (GBP)
,Funds Deposited,,900.00,900.00
01-04-19,Interest Policy Begins,,0.00,900.00
01-04-20,Interest (16.6% APR),,149.81,1049.81
01-04-21,Interest (16.6% APR),,174.27,1224.08
06-05-21,Interest to Date ....,,19.48,1243.56
