  **Date**,         **ID**,       **Reference**,  **Volume**,  **¤**,  **GBP**
2021/07/10,:ref:`INV-0012`, Element/Matrix(VPS),     2500.00,    USD, 1799.16
2021/08/30,:ref:`INV-0032`, Hardware (x7 Pi4's),     1750.00,    USD, 1271.57
2021/10/18,:ref:`INV-0042`, Hardware (UpBoards),     1000.00,    USD, 728.39
2021/11/28,:ref:`INV-0052`, 1/3 Mandate & Brief,     3750.00,    USD, 2811.01
2021/12/28,:ref:`INV-0062`,  2/3 Plan & Execute,     3750.00,    USD, 2791.80
