       **Date**, **Annex ID**,   **Volume**,    **¤**,        **GBP**, **Bal (£)**
     2022/01/27,:ref:`INV-0072`,      1200.00,      USD,       896.58, 896.58
     2022/02/02,:ref:`RCT-02013`,     1200.00,      USD,       -884.59, 11.99
     2022/02/28,:ref:`INV-02022`,     1200.00,      USD,       899.28, 911.27 
     2022/03/10,:ref:`RCT-02023`,     1200.00,      USD,       -907.73, 3.54
               ,                ,             ,        ,              ,
               ,               ,             ,         ,    **Balance**,**3.54**
