  **Date**,  **Annex ID**,           **Reference**, **Volume**, **¤**,     **USD**, **Go**
2022/05/24,  :ref:`QUO-04011`, Conference(O/B Client),   5000,   USD ,      5000 ,  ?
2022/05/24,  :ref:`QUO-04021`,   Bankroll - June 2022,   4000,   USD ,      4000 ,  ?
