       **Date**,        **Annex ID**,   **Volume**,    **¤**,    **BTC**, **Balance**
     2022/06/05,   :ref:`INV-04012` ,         2500,      USD,           ,
     2022/06/05,   :ref:`INV-04022` ,         4000,      USD,            ,
     2022/06/14,   :ref:`RCT-04013` ,       -2500 ,      USD,            ,
     2022/06/14,   :ref:`RCT-04023` ,       -4000 ,      USD,            ,
     2022/07/02,                    ,             ,      USD, **Balance**, **0.00**
