Date,Details,Debit,Credit,Balance (GBP)
06-02-13,Funds Deposited,,4000.00,4000.00
01-04-19,Interest Policy Begins,,,4000.00
01-04-20,Interest (1.66% APR),,66.58,4066.58
01-04-21,Interest (1.66% APR),,67.51,4134.09
25-05-21,Interest to Date ....,,10.15,4144.24
