Date,Details,Debit,Credit,Balance (GBP)
20-02-12,Funds Deposited,,1000.00,1000.00
01-04-19,Interest Policy Begins,,0.00,1000.00
01-04-20,Interest (16.6% APR),,166.45,1166.45
01-04-21,Interest (16.6% APR),,193.63,1360.09
08-04-21,Interest to Date ....,,4.33,1364.42
