  **Date**,    **Annex ID**,       **Reference**,  **Volume**,  **¤**,  **BTC**
2022/06/14, :ref:`RCT-04031`,    Conference v0.1,        2500,   USD , 0.114772 
2022/06/14, :ref:`RCT-04021`, June - Terms A,        4000,   USD , 0.183635
