**Date**, **Version**, **Subject**, **Description**
2021/09/07,0.0.0,custom.sh, `custom.sh also leaves behind unwanted files headers.csv and subsubsubheadings.txt`
2021/09/07,0.0.0,custom.sh,`the custom script screws up the csv files` 
