**Date**, **Description**, **PDF**, **SVG**, **PNG**
2021-07-11, Resolution 6: 3229.5 Meters Wide, , , `link(1.4mb) <https://datro.xyz/static/library/consortium_bloculus/operations_businesscase/latest/build/html/_static/resolution6.png>`__ 
2021-07-11, Resolution 5: 8544.4 Meters Wide, , , `link(1.4mb) <https://datro.xyz/static/library/consortium_bloculus/operations_businesscase/latest/build/html/_static/resolution5.png>`__

